German	English	Category	Frequency
Zeitung	newspaper	Noun	179
Magazin	magazine	Noun	180
Zeitschrift	journal	Noun	181
Film	movie	Noun	182
Fernsehen	television	Noun	183
Radio	radio	Noun	184
Computer	computer	Noun	185
Telefon	telephone	Noun	186
Handy	mobile phone	Noun	187
Internet	internet	Noun	188
Email	email	Noun	189
Website	website	Noun	190
Auto	car	Noun	191
Bus	bus	Noun	192
Zug	train	Noun	193
Flugzeug	airplane	Noun	194
Schiff	ship	Noun	195
Fahrrad	bicycle	Noun	196
Motorrad	motorcycle	Noun	197
Taxi	taxi	Noun	198
Straße	street	Noun	199
Weg	path	Noun	200
Brücke	bridge	Noun	201
Tunnel	tunnel	Noun	202
Park	park	Noun	203
Garten	garden	Noun	204
Wald	forest	Noun	205
Berg	mountain	Noun	206
Hügel	hill	Noun	207
Tal	valley	Noun	208
Fluss	river	Noun	209
See	lake	Noun	210
Meer	sea	Noun	211
Ozean	ocean	Noun	212
Strand	beach	Noun	213
Wüste	desert	Noun	214
Insel	island	Noun	215
Land	country	Noun	216
Stadt	city	Noun	217
Dorf	village	Noun	218
Staat	state	Noun	219
Regierung	government	Noun	220
Präsident	president	Noun	221
Minister	minister	Noun	222
Bürgermeister	mayor	Noun	223
Parlament	parliament	Noun	224
Gesetz	law	Noun	225
Recht	right	Noun	226
Freiheit	freedom	Noun	227
Demokratie	democracy	Noun	228
Wahl	election	Noun	229
Partei	party	Noun	230
Politik	politics	Noun	231
Wirtschaft	economy	Noun	232
Geld	money	Noun	233
Euro	euro	Noun	234
Dollar	dollar	Noun	235
Bank	bank	Noun	236
Kredit	credit	Noun	237
Schuld	debt	Noun	238
Preis	price	Noun	239
Kosten	cost	Noun	240
Gewinn	profit	Noun	241
Verlust	loss	Noun	242
Arbeit	work	Noun	243
Job	job	Noun	244
Beruf	profession	Noun	245
Karriere	career	Noun	246
Gehalt	salary	Noun	247
Lohn	wage	Noun	248
Urlaub	vacation	Noun	249
Ferien	holiday	Noun	250
Wochenende	weekend	Noun	251
Montag	Monday	Noun	252
Dienstag	Tuesday	Noun	253
Mittwoch	Wednesday	Noun	254
Donnerstag	Thursday	Noun	255
Freitag	Friday	Noun	256
Samstag	Saturday	Noun	257
Sonntag	Sunday	Noun	258
Januar	January	Noun	259
Februar	February	Noun	260
März	March	Noun	261
April	April	Noun	262
Mai	May	Noun	263
Juni	June	Noun	264
Juli	July	Noun	265
August	August	Noun	266
September	September	Noun	267
Oktober	October	Noun	268
November	November	Noun	269
Dezember	December	Noun	270
Frühling	spring	Noun	271
Sommer	summer	Noun	272
Herbst	autumn	Noun	273
Winter	winter	Noun	274
Wetter	weather	Noun	275
Regen	rain	Noun	276
Schnee	snow	Noun	277
Wind	wind	Noun	278
Sonne	sun	Noun	279
Wolke	cloud	Noun	280
Himmel	sky	Noun	281
Erde	earth	Noun	282
Natur	nature	Noun	283
Umwelt	environment	Noun	284
Klima	climate	Noun	285
Temperatur	temperature	Noun	286
Grad	degree	Noun	287
Warm	warm	Adjective	288
Kalt	cold	Adjective	289
Heiß	hot	Adjective	290
Kühl	cool	Adjective	291
Trocken	dry	Adjective	292
Nass	wet	Adjective	293
Hell	bright	Adjective	294
Dunkel	dark	Adjective	295
Laut	loud	Adjective	296
Leise	quiet	Adjective	297
Schnell	fast	Adjective	298
Langsam	slow	Adjective	299
Groß	big	Adjective	300
Klein	small	Adjective	301
Hoch	high	Adjective	302
Niedrig	low	Adjective	303
Lang	long	Adjective	304
Kurz	short	Adjective	305
Breit	wide	Adjective	306
Schmal	narrow	Adjective	307
Dick	thick	Adjective	308
Dünn	thin	Adjective	309
Schwer	heavy	Adjective	310
Leicht	light	Adjective	311
Alt	old	Adjective	312
Neu	new	Adjective	313
Jung	young	Adjective	314
Schön	beautiful	Adjective	315
Hässlich	ugly	Adjective	316
Gut	good	Adjective	317
Schlecht	bad	Adjective	318
Richtig	right	Adjective	319
Falsch	wrong	Adjective	320
Wahr	true	Adjective	321
Falsch	false	Adjective	322
Einfach	easy	Adjective	323
Schwer	difficult	Adjective	324
Interessant	interesting	Adjective	325
Langweilig	boring	Adjective	326
Wichtig	important	Adjective	327
Unwichtig	unimportant	Adjective	328
Möglich	possible	Adjective	329
Unmöglich	impossible	Adjective	330
Nötig	necessary	Adjective	331
Unnötig	unnecessary	Adjective	332
Frei	free	Adjective	333
Beschäftigt	busy	Adjective	334
Müde	tired	Adjective	335
Krank	sick	Adjective	336
Gesund	healthy	Adjective	337
Glücklich	happy	Adjective	338
Traurig	sad	Adjective	339
Angstlich	afraid	Adjective	340
Mutig	brave	Adjective	341
Stark	strong	Adjective	342
Schwach	weak	Adjective	343
Reich	rich	Adjective	344
Arm	poor	Adjective	345
Voll	full	Adjective	346
Leer	empty	Adjective	347
Offen	open	Adjective	348
Geschlossen	closed	Adjective	349
Sauber	clean	Adjective	350
Schmutzig	dirty	Adjective	351
Ordnung	order	Noun	352
Chaos	chaos	Noun	353
Sicherheit	security	Noun	354
Gefahr	danger	Noun	355
Problem	problem	Noun	356
Lösung	solution	Noun	357
Frage	question	Noun	358
Antwort	answer	Noun	359
Idee	idea	Noun	360
Plan	plan	Noun	361
Ziel	goal	Noun	362
Traum	dream	Noun	363
Hoffnung	hope	Noun	364
Angst	fear	Noun	365
Liebe	love	Noun	366
Hass	hate	Noun	367
Freude	joy	Noun	368
Schmerz	pain	Noun	369
Glück	luck	Noun	370
Pech	bad luck	Noun	371
Erfolg	success	Noun	372
Misserfolg	failure	Noun	373
Sieg	victory	Noun	374
Niederlage	defeat	Noun	375
Krieg	war	Noun	376
Frieden	peace	Noun	377
Kampf	fight	Noun	378
Wettbewerb	competition	Noun	379
Spiel	game	Noun	380
Spaß	fun	Noun	381
Lachen	laughter	Noun	382
Weinen	crying	Noun	383
Lächeln	smile	Noun	384
Schreien	screaming	Noun	385
Flüstern	whispering	Noun	386
Hören	hearing	Noun	387
Sehen	seeing	Noun	388
Riechen	smelling	Noun	389
Schmecken	tasting	Noun	390
Fühlen	feeling	Noun	391
Denken	thinking	Noun	392
Wissen	knowledge	Noun	393
Lernen	learning	Noun	394
Lehren	teaching	Noun	395
Verstehen	understanding	Noun	396
Erklären	explaining	Noun	397
Fragen	asking	Noun	398
Antworten	answering	Noun	399
Sprechen	speaking	Noun	400
Schweigen	silence	Noun	401
Lesen	reading	Noun	402
Schreiben	writing	Noun	403
Zeichnen	drawing	Noun	404
Malen	painting	Noun	405
Bauen	building	Noun	406
Zerstören	destroying	Noun	407
Kaufen	buying	Noun	408
Verkaufen	selling	Noun	409
Geben	giving	Noun	410
Nehmen	taking	Noun	411
Bekommen	getting	Noun	412
Verlieren	losing	Noun	413
Finden	finding	Noun	414
Suchen	searching	Noun	415
Entdecken	discovering	Noun	416
Erfinden	inventing	Noun	417
Erstellen	creating	Noun	418
Machen	making	Noun	419
Tun	doing	Noun	420
Gehen	going	Noun	421
Kommen	coming	Noun	422
Fahren	driving	Noun	423
Fliegen	flying	Noun	424
Schwimmen	swimming	Noun	425
Laufen	running	Noun	426
Springen	jumping	Noun	427
Klettern	climbing	Noun	428
Fallen	falling	Noun	429
Stehen	standing	Noun	430
Sitzen	sitting	Noun	431
Liegen	lying	Noun	432
Schlafen	sleeping	Noun	433
Wachen	waking	Noun	434
Essen	eating	Noun	435
Trinken	drinking	Noun	436
Kochen	cooking	Noun	437
Backen	baking	Noun	438
Waschen	washing	Noun	439
Putzen	cleaning	Noun	440
Reparieren	repairing	Noun	441
Arbeiten	working	Noun	442
Spielen	playing	Noun	443
Lernen	studying	Noun	444
Üben	practicing	Noun	445
Trainieren	training	Noun	446
Wettkämpfen	competing	Noun	447
Gewinnen	winning	Noun	448
Verlieren	losing	Noun	449
Helfen	helping	Noun	450
Unterstützen	supporting	Noun	451
Beschützen	protecting	Noun	452
Retten	saving	Noun	453
Heilen	healing	Noun	454
Behandeln	treating	Noun	455
Operieren	operating	Noun	456
Untersuchen	examining	Noun	457
Diagnostizieren	diagnosing	Noun	458
Behandeln	treating	Noun	459
Heilen	curing	Noun	460
Gesund werden	getting healthy	Noun	461
Sterben	dying	Noun	462
Leben	living	Noun	463
Geboren werden	being born	Noun	464
Wachsen	growing	Noun	465
Älter werden	getting older	Noun	466
Reifen	maturing	Noun	467
Entwickeln	developing	Noun	468
Verändern	changing	Noun	469
Verbessern	improving	Noun	470
Verschlechtern	worsening	Noun	471
Vergrößern	enlarging	Noun	472
Verkleinern	reducing	Noun	473
Erhöhen	increasing	Noun	474
Senken	lowering	Noun	475
Steigern	raising	Noun	476
Reduzieren	reducing	Noun	477
Hinzufügen	adding	Noun	478
Entfernen	removing	Noun	479
Einfügen	inserting	Noun	480
Löschen	deleting	Noun	481
Speichern	saving	Noun	482
Laden	loading	Noun	483
Öffnen	opening	Noun	484
Schließen	closing	Noun	485
Starten	starting	Noun	486
Stoppen	stopping	Noun	487
Pausieren	pausing	Noun	488
Fortsetzen	continuing	Noun	489
Beenden	ending	Noun	490
Beginnen	beginning	Noun	491
Anfangen	starting	Noun	492
Aufhören	stopping	Noun	493
Weitergehen	continuing	Noun	494
Voranbringen	advancing	Noun	495
Zurückgehen	going back	Noun	496
Vorwärts	forward	Adverb	497
Rückwärts	backward	Adverb	498
Links	left	Adverb	499
Rechts	right	Adverb	500
