German,English,Category,Frequency,German_Phrase,English_Phrase
Hund,dog,Noun,76,"Der Hund bellt.","The dog barks."
Katze,cat,Noun,77,"Die Katze schläft.","The cat sleeps."
Pferd,horse,Noun,78,"Das Pferd läuft schnell.","The horse runs fast."
Vogel,bird,Noun,79,"Der Vogel singt.","The bird sings."
Fisch,fish,Noun,80,"Der Fisch schwimmt.","The fish swims."
Brot,bread,Noun,81,"Ich esse Brot.","I eat bread."
Milch,milk,Noun,82,"Ich trinke Milch.","I drink milk."
Käse,cheese,Noun,83,"Ich mag Käse.","I like cheese."
Fleisch,meat,Noun,84,"Ich esse Fleisch.","I eat meat."
Obst,fruit,Noun,85,"Ich esse Obst.","I eat fruit."
Gemüse,vegetable,Noun,86,"Ich kaufe Gemüse.","I buy vegetables."
Apfel,apple,Noun,87,"Der Apfel ist rot.","The apple is red."
Banane,banana,Noun,88,"Die Banane ist gelb.","The banana is yellow."
Orange,orange,Noun,89,"Die Orange ist süß.","The orange is sweet."
Wein,wine,Noun,90,"Ich trinke Wein.","I drink wine."
Bier,beer,Noun,91,"Ich trinke Bier.","I drink beer."
Kaffee,coffee,Noun,92,"Ich trinke Kaffee.","I drink coffee."
Tee,tea,Noun,93,"Ich trinke Tee.","I drink tea."
Zucker,sugar,Noun,94,"Ich nehme Zucker.","I take sugar."
Salz,salt,Noun,95,"Ich brauche Salz.","I need salt."
Pfeffer,pepper,Noun,96,"Ich mag Pfeffer.","I like pepper."
Öl,oil,Noun,97,"Ich koche mit Öl.","I cook with oil."
Butter,butter,Noun,98,"Ich esse Butter.","I eat butter."
Ei,egg,Noun,99,"Ich koche ein Ei.","I cook an egg."
Reis,rice,Noun,100,"Ich esse Reis.","I eat rice."
